url,id,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/woluwe-st-lambert/1200/10991459,10991459.0,1.0,Brussels,Woluwe-St-Lambert,1200,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/deinze-astene/9800/11137886,11137886.0,3.0,East Flanders,Deinze Astene,9800,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/oudergem/1160/11138277,11138277.0,1.0,Brussels,Oudergem,1160,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/merelbeke/9820/11142346,11142346.0,3.0,East Flanders,Merelbeke,9820,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/11138468,11138468.0,3.0,West Flanders,Nieuwpoort,8620,APARTMENT,APARTMENT,499000.0,4.0,142.0,HYPER_EQUIPPED,0.0,,1.0,10.0,,,,2,0.0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/11140726,11140726.0,1.0,Brussels,Auderghem,1160,APARTMENT,APARTMENT,520000.0,2.0,107.0,USA_INSTALLED,,,1.0,12.0,,,,,0.0,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/11159159,11159159.0,3.0,East Flanders,Brakel,9660,HOUSE,HOUSE,395000.0,3.0,144.0,USA_HYPER_EQUIPPED,0.0,,1.0,20.0,1.0,102.0,196,3,0.0,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/antwerp/2018/11161808,11161808.0,3.0,Antwerp,Antwerp,2018,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/11161807,11161807.0,3.0,Antwerp,Brasschaat,2930,HOUSE,VILLA,1265000.0,7.0,451.0,INSTALLED,,-1.0,1.0,52.0,1.0,3717.0,4322,4,1.0,AS_NEW
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ronse/9600/10461560,10461560.0,3.0,East Flanders,RONSE,9600,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
